Timestamp,BJPSenti1,BJPSenti2,BJPSenti3,BJPIntelliSenti,INCSenti1,INCSenti2,INCSenti3,INCIntelliSenti,AAPSenti1,AAPSenti2,AAPSenti3,AAPIntelliSenti
3/5/2014,0.288,0.729,0.107,0.181,0.121,0.779,0.034,0.087,0.206,0.612,0.131,0.075
3/6/2014,0.241,0.711,0.098,0.143,0.153,0.64,0.086,0.067,0.224,0.638,0.127,0.097
3/7/2014,0.26,0.71,0.106,0.154,0.108,0.645,0.059,0.049,0.303,0.696,0.132,0.171
3/8/2014,0.298,0.736,0.107,0.191,0.217,0.849,0.039,0.179,0.28,0.711,0.114,0.166
3/9/2014,0.219,0.638,0.124,0.095,0.121,0.407,0.177,-0.056,0.277,0.721,0.107,0.17
3/10/2014,0.18,0.509,0.174,0.006,0.107,0.628,0.063,0.043,0.264,0.696,0.115,0.149
3/11/2014,0.227,0.7,0.097,0.13,0.158,0.634,0.092,0.067,0.268,0.708,0.11,0.158
3/12/2014,0.238,0.687,0.108,0.13,0.144,0.553,0.116,0.027,0.23,0.646,0.126,0.104
3/13/2014,0.201,0.714,0.08,0.121,0.093,0.489,0.098,-0.004,0.284,0.697,0.124,0.16
3/14/2014,0.209,0.611,0.133,0.076,0.155,0.636,0.088,0.066,0.254,0.682,0.118,0.136
3/15/2014,0.295,0.727,0.111,0.184,0.179,0.731,0.066,0.113,0.275,0.673,0.134,0.142
3/16/2014,0.267,0.659,0.139,0.129,0.12,0.57,0.091,0.03,0.326,0.734,0.118,0.208
3/17/2014,0.25,0.698,0.108,0.142,0.159,0.74,0.056,0.103,0.282,0.65,0.152,0.13
3/18/2014,0.211,0.637,0.12,0.091,0.096,0.655,0.051,0.045,0.254,0.669,0.126,0.128
3/19/2014,0.227,0.658,0.118,0.109,0.134,0.728,0.05,0.084,0.259,0.681,0.121,0.137
3/20/2014,0.189,0.636,0.109,0.081,0.174,0.741,0.061,0.113,0.301,0.776,0.087,0.214
3/24/2014,0.234,0.723,0.09,0.145,0.111,0.572,0.083,0.028,0.269,0.739,0.095,0.174
3/25/2014,0.258,0.702,0.109,0.148,0.127,0.659,0.066,0.061,0.271,0.69,0.122,0.149
3/26/2014,0.196,0.612,0.124,0.072,0.156,0.695,0.068,0.088,0.28,0.66,0.144,0.136
3/27/2014,0.202,0.642,0.113,0.089,0.163,0.65,0.087,0.075,0.304,0.707,0.126,0.178
3/28/2014,0.222,0.613,0.14,0.082,0.172,0.73,0.064,0.108,0.219,0.688,0.099,0.12
3/29/2014,0.252,0.688,0.114,0.137,0.11,0.488,0.116,-0.006,0.324,0.723,0.124,0.2
3/30/2014,0.234,0.628,0.139,0.096,0.144,0.686,0.066,0.078,0.305,0.733,0.111,0.194
3/31/2014,0.219,0.644,0.121,0.098,0.119,0.623,0.072,0.047,0.363,0.798,0.092,0.271
4/1/2014,0.167,0.57,0.126,0.041,0.155,0.584,0.11,0.044,0.303,0.723,0.116,0.187
4/2/2014,0.231,0.661,0.118,0.113,0.12,0.608,0.077,0.042,0.288,0.742,0.1,0.188
4/3/2014,0.206,0.584,0.147,0.06,0.083,0.551,0.068,0.015,0.247,0.738,0.088,0.159
4/4/2014,0.206,0.649,0.112,0.094,0.081,0.546,0.067,0.014,0.214,0.649,0.116,0.098
4/5/2014,0.221,0.709,0.091,0.13,0.115,0.644,0.064,0.051,0.401,0.776,0.116,0.285
4/6/2014,0.204,0.641,0.114,0.09,0.087,0.488,0.091,-0.004,0.234,0.729,0.087,0.147
4/7/2014,0.145,0.689,0.066,0.08,0.106,0.732,0.039,0.067,0.177,0.721,0.069,0.108
4/8/2014,0.18,0.645,0.099,0.081,0.095,0.517,0.089,0.006,0.198,0.517,0.184,0.013
4/9/2014,0.247,0.726,0.093,0.154,0.111,0.71,0.045,0.065,0.287,0.649,0.155,0.132
4/10/2014,0.254,0.753,0.083,0.171,0.113,0.585,0.08,0.033,0.273,0.746,0.093,0.18
4/11/2014,0.218,0.701,0.093,0.125,0.138,0.61,0.088,0.049,0.274,0.721,0.106,0.168
4/12/2014,0.295,0.746,0.101,0.194,0.159,0.699,0.069,0.09,0.243,0.727,0.092,0.152
4/13/2014,0.214,0.704,0.09,0.124,0.148,0.668,0.074,0.074,0.348,0.788,0.093,0.255
4/14/2014,0.216,0.67,0.106,0.11,0.087,0.566,0.066,0.02,0.301,0.743,0.104,0.197
4/15/2014,0.203,0.562,0.158,0.045,0.132,0.585,0.094,0.038,0.303,0.696,0.132,0.171
4/16/2014,0.305,0.824,0.065,0.24,0.135,0.744,0.047,0.089,0.199,0.681,0.094,0.106
4/17/2014,0.272,0.783,0.076,0.197,0.236,0.761,0.074,0.162,0.343,0.783,0.095,0.248
4/18/2014,0.242,0.683,0.113,0.13,0.135,0.655,0.071,0.064,0.43,0.85,0.076,0.354
4/19/2014,0.22,0.707,0.091,0.129,0.122,0.65,0.066,0.056,0.346,0.783,0.096,0.25
4/20/2014,0.27,0.756,0.087,0.183,0.137,0.706,0.057,0.08,0.482,0.837,0.094,0.388
4/21/2014,0.423,0.843,0.079,0.344,0.194,0.709,0.08,0.114,0.566,0.9,0.063,0.503
4/22/2014,0.344,0.802,0.085,0.259,0.212,0.805,0.051,0.161,0.522,0.884,0.068,0.453
4/23/2014,0.337,0.74,0.118,0.219,0.12,0.668,0.059,0.06,0.386,0.828,0.08,0.306
4/24/2014,0.254,0.724,0.097,0.157,0.125,0.624,0.075,0.049,0.305,0.723,0.117,0.189
4/25/2014,0.217,0.672,0.106,0.111,0.097,0.462,0.113,-0.016,0.352,0.735,0.127,0.225
4/26/2014,0.203,0.63,0.119,0.084,0.081,0.453,0.098,-0.017,0.318,0.744,0.109,0.208
4/27/2014,0.226,0.662,0.115,0.11,0.161,0.627,0.096,0.065,0.294,0.718,0.116,0.178
4/28/2014,0.215,0.687,0.098,0.117,0.094,0.533,0.083,0.012,0.313,0.742,0.109,0.204
4/29/2014,0.178,0.649,0.096,0.082,0.149,0.709,0.061,0.088,0.242,0.672,0.118,0.124
5/1/2014,0.197,0.659,0.102,0.095,0.121,0.578,0.089,0.033,0.282,0.707,0.117,0.165
5/2/2014,0.211,0.655,0.111,0.1,0.178,0.681,0.083,0.094,0.256,0.644,0.142,0.114
5/3/2014,0.222,0.534,0.194,0.028,0.172,0.649,0.093,0.079,0.259,0.668,0.129,0.13
5/5/2014,0.381,0.837,0.074,0.307,0.11,0.594,0.075,0.035,0.178,0.527,0.16,0.018
5/6/2014,0.272,0.693,0.12,0.152,0.127,0.627,0.076,0.052,0.255,0.627,0.152,0.103
5/7/2014,0.19,0.576,0.14,0.05,0.054,0.45,0.066,-0.012,0.261,0.67,0.129,0.132
5/8/2014,0.242,0.678,0.115,0.127,0.072,0.358,0.13,-0.057,0.26,0.587,0.183,0.077
5/11/2014,0.28,0.687,0.128,0.152,0.193,0.716,0.077,0.117,0.321,0.684,0.148,0.173
5/12/2014,0.257,0.768,0.077,0.179,0.135,0.682,0.063,0.072,0.277,0.629,0.164,0.113
5/13/2014,0.229,0.669,0.113,0.115,0.107,0.485,0.114,-0.006,0.296,0.655,0.156,0.14
5/14/2014,0.217,0.693,0.096,0.12,0.085,0.353,0.155,-0.07,0.255,0.65,0.137,0.118
5/15/2014,0.255,0.726,0.096,0.159,0.109,0.446,0.135,-0.026,0.289,0.688,0.131,0.158
5/20/2014,0.297,0.784,0.082,0.215,0.127,0.425,0.172,-0.045,0.291,0.768,0.088,0.203
5/21/2014,0.264,0.727,0.099,0.165,0.177,0.717,0.07,0.107,0.195,0.551,0.159,0.036
5/22/2014,0.266,0.747,0.09,0.176,0.083,0.573,0.062,0.021,0.194,0.546,0.162,0.033
5/23/2014,0.251,0.745,0.086,0.165,0.173,0.759,0.055,0.118,0.212,0.599,0.142,0.07
5/24/2014,0.238,0.712,0.096,0.142,0.131,0.534,0.114,0.017,0.211,0.571,0.159,0.052
5/25/2014,0.292,0.78,0.083,0.21,0.104,0.519,0.096,0.008,0.216,0.566,0.166,0.051
5/26/2014,0.317,0.839,0.061,0.256,0.214,0.611,0.136,0.078,0.185,0.6,0.123,0.062
5/27/2014,0.295,0.832,0.059,0.235,0.254,0.83,0.052,0.202,0.232,0.623,0.14,0.091
5/28/2014,0.283,0.798,0.071,0.211,0.147,0.713,0.059,0.088,0.229,0.6,0.153,0.076
5/29/2014,0.255,0.777,0.073,0.182,0.079,0.524,0.072,0.007,0.35,0.742,0.122,0.228
5/30/2014,0.27,0.791,0.072,0.199,0.173,0.758,0.055,0.118,0.282,0.69,0.127,0.156
5/31/2014,0.222,0.71,0.091,0.131,0.108,0.602,0.072,0.037,0.279,0.659,0.144,0.135
